archive,member,bytes,compressed_bytes
ffb-resources/src/main/resources/icons/cached/pitches/basic.zip,blizzard.png,20698,18031
ffb-resources/src/main/resources/icons/cached/pitches/basic.zip,heat.png,25680,22527
ffb-resources/src/main/resources/icons/cached/pitches/basic.zip,nice.png,22638,19875
ffb-resources/src/main/resources/icons/cached/pitches/basic.zip,pitch.ini,83,54
ffb-resources/src/main/resources/icons/cached/pitches/basic.zip,rain.png,26395,22612
ffb-resources/src/main/resources/icons/cached/pitches/basic.zip,sunny.png,25432,22321
ffb-resources/src/main/resources/icons/cached/pitches/blackbox.zip,blizzard.jpg,312527,312374
ffb-resources/src/main/resources/icons/cached/pitches/blackbox.zip,heat.jpg,473296,472917
ffb-resources/src/main/resources/icons/cached/pitches/blackbox.zip,nice.jpg,428001,401539
ffb-resources/src/main/resources/icons/cached/pitches/blackbox.zip,pitch.ini,101,67
ffb-resources/src/main/resources/icons/cached/pitches/blackbox.zip,rain.jpg,349763,349507
ffb-resources/src/main/resources/icons/cached/pitches/blackbox.zip,sunny.jpg,374337,374138
ffb-resources/src/main/resources/icons/cached/pitches/default.zip,blizzard.png,710288,710298
ffb-resources/src/main/resources/icons/cached/pitches/default.zip,heat.png,843969,844019
ffb-resources/src/main/resources/icons/cached/pitches/default.zip,nice.png,777644,777669
ffb-resources/src/main/resources/icons/cached/pitches/default.zip,pitch.ini,83,54
ffb-resources/src/main/resources/icons/cached/pitches/default.zip,rain.png,879510,879567
ffb-resources/src/main/resources/icons/cached/pitches/default.zip,sunny.png,824707,824752
ffb-resources/src/main/resources/icons/cached/pitches/fumbblcup.zip,blizzard.jpg,382091,381277
ffb-resources/src/main/resources/icons/cached/pitches/fumbblcup.zip,heat.jpg,497530,497253
ffb-resources/src/main/resources/icons/cached/pitches/fumbblcup.zip,nice.jpg,442619,442233
ffb-resources/src/main/resources/icons/cached/pitches/fumbblcup.zip,pitch.ini,101,67
ffb-resources/src/main/resources/icons/cached/pitches/fumbblcup.zip,rain.jpg,427131,426497
ffb-resources/src/main/resources/icons/cached/pitches/fumbblcup.zip,sunny.jpg,531950,504175
