sha256,count,paths
a0a8ef87dbc67ef9af33b3d95be077cbdf1480dd6b5f3001769ace0950823685,2,ffb-resources/src/main/resources/icons/actions/beerbomb.png | ffb-resources/src/main/resources/icons/animation/keg/beerbomb.png
7df2b3909bc0e8e66b4d570f19bfd9598545ea47359d8f05b151e061d1a9ab98,2,ffb-resources/src/main/resources/icons/actions/block.gif | ffb-resources/src/main/resources/icons/actions/vicious_vines.gif
a57eb58235d47a5f4898ff73585923f6df46dfde1d277943c9a2ef77d54475ed,2,ffb-resources/src/main/resources/icons/actions/furious_outburst.gif | ffb-resources/src/main/resources/icons/actions/stab.gif
11886769c902aa454f36b97bcb5a4b03d70423840dbaa551e835ec313b165c0e,2,ffb-resources/src/main/resources/icons/actions/gaze.png | ffb-resources/src/main/resources/icons/actions/look.png
68e37047fad2b11ead01281cbeca47fc04a3248536667e2586149fbcb6fc6459,3,ffb-resources/src/main/resources/icons/animation/blastin/explosion1.png | ffb-resources/src/main/resources/icons/animation/fireball/fireball_explosion1.png | ffb-resources/src/main/resources/icons/animation/trickster/explosion1.png
6cc336dfcf1b888194f69297116e9899abb995f85f346fcea45521fef3c60f6a,3,ffb-resources/src/main/resources/icons/animation/blastin/explosion2.png | ffb-resources/src/main/resources/icons/animation/fireball/fireball_explosion2.png | ffb-resources/src/main/resources/icons/animation/trickster/explosion2.png
30c12ec0874f48c4ab968cef34f2a86c79ecb65bcfa030d738adfc17d6d58f56,2,ffb-resources/src/main/resources/icons/animation/blastin/smoke1.png | ffb-resources/src/main/resources/icons/animation/trickster/smoke1.png
04cc650b511b1871c2ba062b3b53265beda820b1cbe7f0837d10b139ab3d59b7,2,ffb-resources/src/main/resources/icons/animation/blastin/smoke2.png | ffb-resources/src/main/resources/icons/animation/trickster/smoke2.png
a391d3af8fc41ec0a5251c67de7a5840fbc8930cbf70acdeced26124f2c0bb89,2,ffb-resources/src/main/resources/icons/animation/blastin/smoke3.png | ffb-resources/src/main/resources/icons/animation/trickster/smoke3.png
c4eaa54f890352174a956b2a1f11f2c459fddbe3d56b874e7b71d75c9a865053,2,ffb-resources/src/main/resources/icons/animation/blastin/smoke4.png | ffb-resources/src/main/resources/icons/animation/trickster/smoke4.png
e5e7a73e4a162450189d012125d2113352400f3bd312d2d5b4e6823045139293,2,ffb-resources/src/main/resources/icons/animation/lightning/lightning_bolt_01.png | ffb-resources/src/main/resources/icons/animation/zap/zap_01.png
0d0501421aef7b3e8f59514f7b3c2fb01976a3b7d1726074d38c9793bcd6892b,2,ffb-resources/src/main/resources/icons/animation/lightning/lightning_bolt_02.png | ffb-resources/src/main/resources/icons/animation/zap/zap_02.png
