path,storage,category,extension,bytes,compressed_bytes,sha256,format,width,height,mode,has_alpha_channel,has_transparent_pixels,frames,duration_ms,error,reference_candidates,reference_method,provenance_status,source_hint
ffb-resources/src/main/resources/icons/actions/all_you_can_eat.png,file,actions,.png,720,,f11ace0dbdb48291db5b74ec4f79fe7509d0da765f3308f80f6855685972b53c,PNG,20,20,P,True,True,1,0,,ffb-client/src/main/resources-live/client.ini:391 | ffb-client/src/main/resources-testenv/client.ini:391 | ffb-client/src/main/resources/client.ini:391,literal basename candidates; dynamic loading and aliases require code review,root MIT notice; per-asset author/source/license not established,bundled resource
ffb-resources/src/main/resources/icons/actions/baleful.png,file,actions,.png,517,,04728e6b6b39d42d313f1176bf18fb58af1f7b16331d57641b03d9870cc44bc8,PNG,20,20,RGBA,True,True,1,0,,ffb-client/src/main/resources-live/client.ini:389 | ffb-client/src/main/resources-testenv/client.ini:389 | ffb-client/src/main/resources/client.ini:389,literal basename candidates; dynamic loading and aliases require code review,root MIT notice; per-asset author/source/license not established,bundled resource
ffb-resources/src/main/resources/icons/actions/beerbomb.png,file,actions,.png,676,,a0a8ef87dbc67ef9af33b3d95be077cbdf1480dd6b5f3001769ace0950823685,PNG,20,20,RGBA,True,True,1,0,,ffb-client/src/main/resources-live/client.ini:386 | ffb-client/src/main/resources-live/client.ini:575 | ffb-client/src/main/resources-testenv/client.ini:386 | ffb-client/src/main/resources-testenv/client.ini:575 | ffb-client/src/main/resources/client.ini:386 | ffb-client/src/main/resources/client.ini:575,literal basename candidates; dynamic loading and aliases require code review,root MIT notice; per-asset author/source/license not established,bundled resource
ffb-resources/src/main/resources/icons/actions/blitz.gif,file,actions,.gif,1025,,3a97a170a8728bcf31aeedb46d5db9fc9cee15bf0bf3bc974b7f922274e8877a,GIF,20,20,P,True,True,1,0,,ffb-client/src/main/resources-live/client.ini:370 | ffb-client/src/main/resources-testenv/client.ini:370 | ffb-client/src/main/resources/client.ini:370,literal basename candidates; dynamic loading and aliases require code review,root MIT notice; per-asset author/source/license not established,bundled resource
ffb-resources/src/main/resources/icons/actions/block.gif,file,actions,.gif,1032,,7df2b3909bc0e8e66b4d570f19bfd9598545ea47359d8f05b151e061d1a9ab98,GIF,20,20,P,True,True,1,0,,ffb-client/src/main/resources-live/client.ini:227 | ffb-client/src/main/resources-live/client.ini:368 | ffb-client/src/main/resources-live/client.ini:369 | ffb-client/src/main/resources-testenv/client.ini:227 | ffb-client/src/main/resources-testenv/client.ini:368 | ffb-client/src/main/resources-testenv/client.ini:369 | ffb-client/src/main/resources/client.ini:227 | ffb-client/src/main/resources/client.ini:368 | ffb-client/src/main/resources/client.ini:369,literal basename candidates; dynamic loading and aliases require code review,root MIT notice; per-asset author/source/license not established,bundled resource
ffb-resources/src/main/resources/icons/actions/bomb.gif,file,actions,.gif,604,,0c9925f196c5ec2c2c71814b6ce04a765b5ce008c3125710d9322ea3e8f191c4,GIF,20,20,P,True,True,1,0,,ffb-client/src/main/resources-live/client.ini:381 | ffb-client/src/main/resources-testenv/client.ini:381 | ffb-client/src/main/resources/client.ini:381,literal basename candidates; dynamic loading and aliases require code review,root MIT notice; per-asset author/source/license not established,bundled resource
ffb-resources/src/main/resources/icons/actions/bomb.png,file,actions,.png,1200,,98ca26c8b7913987f96ff5b523a9c564d1acb613a071fee51143ba63066baf8d,PNG,20,20,RGBA,True,False,1,0,,,literal basename candidates; dynamic loading and aliases require code review,root MIT notice; per-asset author/source/license not established,bundled resource
ffb-resources/src/main/resources/icons/actions/breathe_fire.png,file,actions,.png,929,,e70012da0743382bc53483e2e0e4726d110f9c9fc7aa85ed2f7cbb7908733aeb,PNG,20,20,RGBA,True,True,1,0,,ffb-client/src/main/resources-live/client.ini:395 | ffb-client/src/main/resources-testenv/client.ini:395 | ffb-client/src/main/resources/client.ini:395,literal basename candidates; dynamic loading and aliases require code review,root MIT notice; per-asset author/source/license not established,bundled resource
ffb-resources/src/main/resources/icons/actions/catch_of_the_day.png,file,actions,.png,781,,539bc090345f716b20c81d6c5f14d5e0b5224182c06f13fa2aa3f267418752c4,PNG,20,20,RGBA,True,True,1,0,,ffb-client/src/main/resources-live/client.ini:394 | ffb-client/src/main/resources-testenv/client.ini:394 | ffb-client/src/main/resources/client.ini:394,literal basename candidates; dynamic loading and aliases require code review,root MIT notice; per-asset author/source/license not established,bundled resource
ffb-resources/src/main/resources/icons/actions/chainsaw.png,file,actions,.png,439,,abc852bac459285274cf5aef762a8fdb066cf1a8bbfa8ddb552766b63c075ec7,PNG,20,20,RGBA,True,True,1,0,,ffb-client/src/main/resources-live/client.ini:230 | ffb-client/src/main/resources-live/client.ini:383 | ffb-client/src/main/resources-testenv/client.ini:230 | ffb-client/src/main/resources-testenv/client.ini:383 | ffb-client/src/main/resources/client.ini:230 | ffb-client/src/main/resources/client.ini:383,literal basename candidates; dynamic loading and aliases require code review,root MIT notice; per-asset author/source/license not established,bundled resource
ffb-resources/src/main/resources/icons/actions/chomp.png,file,actions,.png,419,,0644cfedaddc434b850e70d3d277e7f1214af8b809d002beb93070818c838517,PNG,21,20,RGBA,True,True,1,0,,ffb-client/src/main/resources-live/client.ini:401 | ffb-client/src/main/resources-testenv/client.ini:401 | ffb-client/src/main/resources/client.ini:401,literal basename candidates; dynamic loading and aliases require code review,root MIT notice; per-asset author/source/license not established,bundled resource
ffb-resources/src/main/resources/icons/actions/end.gif,file,actions,.gif,912,,5e2c755615c81e8eab286e698996ba3e72afad58ef3b7c7371f788193f445249,GIF,20,20,P,True,True,1,0,,ffb-client/src/main/resources-live/client.ini:375 | ffb-client/src/main/resources-testenv/client.ini:375 | ffb-client/src/main/resources/client.ini:375,literal basename candidates; dynamic loading and aliases require code review,root MIT notice; per-asset author/source/license not established,bundled resource
ffb-resources/src/main/resources/icons/actions/foul.gif,file,actions,.gif,1002,,6a71326224730ff6379405526ede5c78bb67097c83b8a17893aea01b599cb877,GIF,20,20,P,True,True,1,0,,ffb-client/src/main/resources-live/client.ini:371 | ffb-client/src/main/resources-testenv/client.ini:371 | ffb-client/src/main/resources/client.ini:371,literal basename candidates; dynamic loading and aliases require code review,root MIT notice; per-asset author/source/license not established,bundled resource
ffb-resources/src/main/resources/icons/actions/furious_outburst.gif,file,actions,.gif,888,,a57eb58235d47a5f4898ff73585923f6df46dfde1d277943c9a2ef77d54475ed,GIF,20,20,P,True,True,1,0,,ffb-client/src/main/resources-live/client.ini:399 | ffb-client/src/main/resources-testenv/client.ini:399 | ffb-client/src/main/resources/client.ini:399,literal basename candidates; dynamic loading and aliases require code review,root MIT notice; per-asset author/source/license not established,bundled resource
ffb-resources/src/main/resources/icons/actions/gaze.png,file,actions,.png,418,,11886769c902aa454f36b97bcb5a4b03d70423840dbaa551e835ec313b165c0e,PNG,20,20,RGBA,True,True,1,0,,ffb-client/src/main/resources-live/client.ini:378 | ffb-client/src/main/resources-testenv/client.ini:378 | ffb-client/src/main/resources/client.ini:378,literal basename candidates; dynamic loading and aliases require code review,root MIT notice; per-asset author/source/license not established,bundled resource
ffb-resources/src/main/resources/icons/actions/goforit.gif,file,actions,.gif,873,,c4e2dad6af411ef9f1e1f7fa69fed4c96f2a56c3394dc24cf20a326f4bcbe0b9,GIF,20,20,P,True,True,1,0,,,literal basename candidates; dynamic loading and aliases require code review,root MIT notice; per-asset author/source/license not established,bundled resource
ffb-resources/src/main/resources/icons/actions/handover.gif,file,actions,.gif,371,,42aedde0de5f1fc18464b29fc7de70187a5fa0dcf18c312e7997389bc71ade06,GIF,20,20,P,True,True,1,0,,ffb-client/src/main/resources-live/client.ini:372 | ffb-client/src/main/resources-testenv/client.ini:372 | ffb-client/src/main/resources/client.ini:372,literal basename candidates; dynamic loading and aliases require code review,root MIT notice; per-asset author/source/license not established,bundled resource
ffb-resources/src/main/resources/icons/actions/hitandrun.gif,file,actions,.gif,390,,70cb167295c563c4f6449b1fcc04401ffa4e3d90bd8fcefaecc790c831e80415,GIF,20,20,P,True,True,1,0,,ffb-client/src/main/resources-live/client.ini:390 | ffb-client/src/main/resources-testenv/client.ini:390 | ffb-client/src/main/resources/client.ini:390,literal basename candidates; dynamic loading and aliases require code review,root MIT notice; per-asset author/source/license not established,bundled resource
