source,line,reference
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/IconCache.java,62,java.util.zip.Zip
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/IconCache.java,63,java.util.zip.Zip
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,25,pow.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,26,powpush.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,27,push.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,28,bothdown.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,29,skull.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,32,emoji_u1f600.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,33,emoji_u1f604.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,34,emoji_u1f601.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,35,emoji_u1f602.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,36,emoji_u1f923.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,37,emoji_u1f609.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,38,emoji_u1f607.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,39,emoji_u1f642.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,40,emoji_u1f641.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,41,emoji_u1f61b.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,42,emoji_u1f618.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,43,emoji_u1f633.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,44,emoji_u1f915.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,45,emoji_u1f925.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,49,emoji_u263a.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,50,emoji_u1f644.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,51,emoji_u1f62d.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,52,emoji_u1f622.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,53,emoji_u1f631.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,54,emoji_u1f621.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,55,emoji_u1f92c.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,56,emoji_u1f910.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,57,emoji_u1f914.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,58,emoji_u1fae3.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,59,emoji_u1f92b.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,60,emoji_u1f971.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,61,emoji_u1fae1.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,62,emoji_u1fae2.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,63,emoji_u1f92e.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,64,emoji_u1f922.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,65,emoji_u1f97a.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,66,emoji_u1f928.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,67,emoji_u1f62f.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,68,emoji_u1f60d.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,69,emoji_u1f929.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,72,emoji_u1f60e.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,73,emoji_u1f9d0.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,74,emoji_u1f92f.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,75,emoji_u1f973.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,76,emoji_u1f921.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,77,emoji_u1f608.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,80,emoji_u2764.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,81,emoji_u1f494.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,82,emoji_u1f440.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,83,emoji_u1f525.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,84,emoji_u2744.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,85,emoji_u1f389.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,86,emoji_u1f4a9.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,87,emoji_u1f4af.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,88,emoji_u2753.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,89,emoji_u2757.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,90,emoji_u2620.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,91,emoji_u1f47b.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,92,emoji_u1f340.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,95,emoji_u1f3c5.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,96,emoji_u1f3c6.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,97,emoji_u1f3c8.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,98,emoji_u1f4a3.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,99,emoji_u231b.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,100,emoji_u1f3b2.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,101,emoji_u1f37f.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,102,emoji_u1f37b.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,103,emoji_u1f943.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,104,emoji_u1f377.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,107,emoji_u1f44b.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,108,emoji_u1f44f.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,109,emoji_u1faf5.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,110,emoji_u1f4aa.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,111,emoji_u1f44d.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,112,emoji_u1f44e.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,113,emoji_u1f91e.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,114,emoji_u1f44c.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,115,emoji_u1f596.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,116,emoji_u261d.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,117,emoji_u270c.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,120,emoji_u1f64a.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,121,emoji_u1f648.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,122,emoji_u1f649.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,123,emoji_u1f40f.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,124,emoji_u1f414.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,125,emoji_u1f438.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,126,emoji_u1f41e.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,154,pickerButton/pickerButton_grey.png
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/chat/EmojiLookup.java,155,pickerButton/pickerButton_color.png
ffb-client/src/main/resources-live/client.ini,112,block.ogg
ffb-client/src/main/resources-live/client.ini,114,blunder.ogg
ffb-client/src/main/resources-live/client.ini,116,bounce44.wav
ffb-client/src/main/resources-live/client.ini,118,catch44.wav
ffb-client/src/main/resources-live/client.ini,120,chainsaw.ogg
ffb-client/src/main/resources-live/client.ini,122,click44.wav
ffb-client/src/main/resources-live/client.ini,124,ding.ogg
ffb-client/src/main/resources-live/client.ini,126,dodge.ogg
ffb-client/src/main/resources-live/client.ini,128,duh.ogg
ffb-client/src/main/resources-live/client.ini,130,ew.ogg
ffb-client/src/main/resources-live/client.ini,132,explode.ogg
ffb-client/src/main/resources-live/client.ini,134,fall.ogg
ffb-client/src/main/resources-live/client.ini,136,fireball.ogg
ffb-client/src/main/resources-live/client.ini,138,foul.ogg
ffb-client/src/main/resources-live/client.ini,140,hypno.ogg
ffb-client/src/main/resources-live/client.ini,142,injury.ogg
ffb-client/src/main/resources-live/client.ini,144,kick.ogg
ffb-client/src/main/resources-live/client.ini,146,ko.ogg
ffb-client/src/main/resources-live/client.ini,148,zap.ogg
ffb-client/src/main/resources-live/client.ini,150,metal.ogg
ffb-client/src/main/resources-live/client.ini,152,nomnom.ogg
ffb-client/src/main/resources-live/client.ini,154,organ.ogg
ffb-client/src/main/resources-live/client.ini,156,pickup.ogg
ffb-client/src/main/resources-live/client.ini,158,question.ogg
ffb-client/src/main/resources-live/client.ini,160,rip.ogg
ffb-client/src/main/resources-live/client.ini,162,roar.ogg
ffb-client/src/main/resources-live/client.ini,164,root.ogg
ffb-client/src/main/resources-live/client.ini,166,slurp.ogg
ffb-client/src/main/resources-live/client.ini,168,stab.ogg
ffb-client/src/main/resources-live/client.ini,170,step44.wav
ffb-client/src/main/resources-live/client.ini,172,swoop.ogg
ffb-client/src/main/resources-live/client.ini,174,td.ogg
ffb-client/src/main/resources-live/client.ini,176,throw44.wav
ffb-client/src/main/resources-live/client.ini,178,whistle.ogg
ffb-client/src/main/resources-live/client.ini,180,woooaaah.ogg
ffb-client/src/main/resources-live/client.ini,182,pumpcrowd.ogg
ffb-client/src/main/resources-live/client.ini,184,trapdoor.ogg
ffb-client/src/main/resources-live/client.ini,186,vomit.ogg
ffb-client/src/main/resources-live/client.ini,188,yoink.ogg
ffb-client/src/main/resources-live/client.ini,192,specAah.ogg
ffb-client/src/main/resources-live/client.ini,193,specBoo.ogg
ffb-client/src/main/resources-live/client.ini,194,specCheer.ogg
ffb-client/src/main/resources-live/client.ini,195,specClap.ogg
ffb-client/src/main/resources-live/client.ini,196,specCrickets.ogg
ffb-client/src/main/resources-live/client.ini,197,specLaugh.ogg
ffb-client/src/main/resources-live/client.ini,198,specOoh.ogg
