sheet,sample,path,scale
actions.png,1,ffb-resources/src/main/resources/icons/actions/all_you_can_eat.png,4
actions.png,2,ffb-resources/src/main/resources/icons/actions/beerbomb.png,4
actions.png,3,ffb-resources/src/main/resources/icons/actions/bomb.gif,4
actions.png,4,ffb-resources/src/main/resources/icons/actions/breathe_fire.png,4
actions.png,5,ffb-resources/src/main/resources/icons/actions/chomp.png,4
actions.png,6,ffb-resources/src/main/resources/icons/actions/foul.gif,4
actions.png,7,ffb-resources/src/main/resources/icons/actions/gaze.png,4
actions.png,8,ffb-resources/src/main/resources/icons/actions/hitandrun.gif,4
actions.png,9,ffb-resources/src/main/resources/icons/actions/hmp_bomb.gif,4
actions.png,10,ffb-resources/src/main/resources/icons/actions/kick_em_blitz.png,4
actions.png,11,ffb-resources/src/main/resources/icons/actions/look.png,4
actions.png,12,ffb-resources/src/main/resources/icons/actions/pass.gif,4
actions.png,13,ffb-resources/src/main/resources/icons/actions/rangegrid.gif,4
actions.png,14,ffb-resources/src/main/resources/icons/actions/stab.gif,4
actions.png,15,ffb-resources/src/main/resources/icons/actions/vicious_vines.gif,4
actions.png,16,ffb-resources/src/main/resources/icons/actions/wotwd.png,4
actions.png,17,ffb-resources/src/main/resources/icons/actions/secure.png,4
animation.png,1,ffb-resources/src/main/resources/icons/animation/blastin/explosion1.png,0.667
animation.png,2,ffb-resources/src/main/resources/icons/animation/card/card-dirty_trick-front.png,0.467
animation.png,3,ffb-resources/src/main/resources/icons/animation/fireball/fireball_explosion4.png,0.667
animation.png,4,ffb-resources/src/main/resources/icons/animation/fireball/fireball_smoke3.png,0.667
animation.png,5,ffb-resources/src/main/resources/icons/animation/keg/beerbomb_60.png,4
animation.png,6,ffb-resources/src/main/resources/icons/animation/kickoff/kick-off_dodgy_snack.png,0.477
animation.png,7,ffb-resources/src/main/resources/icons/animation/kickoff/kick-off_pitch_invasion.png,0.477
animation.png,8,ffb-resources/src/main/resources/icons/animation/kickoff/kick-off_timeout.png,0.477
animation.png,9,ffb-resources/src/main/resources/icons/animation/lightning/lightning_bolt_05.png,0.933
animation.png,10,ffb-resources/src/main/resources/icons/animation/lightning/lightning_bolt_12.png,0.933
animation.png,11,ffb-resources/src/main/resources/icons/animation/prayer/prayer_friends_with_the_ref.png,0.477
animation.png,12,ffb-resources/src/main/resources/icons/animation/prayer/prayer_perfect_passing.png,0.477
animation.png,13,ffb-resources/src/main/resources/icons/animation/trickster/explosion2.png,0.667
animation.png,14,ffb-resources/src/main/resources/icons/animation/trickster/smoke3.png,0.667
animation.png,15,ffb-resources/src/main/resources/icons/animation/zap/zap_05.png,0.933
animation.png,16,ffb-resources/src/main/resources/icons/animation/zap/zap_12.png,0.933
animation.png,17,ffb-resources/src/main/resources/icons/animation/keg/beerbomb.png,4
animation.png,18,ffb-resources/src/main/resources/icons/animation/prayer/prayer_under_scrutiny.png,0.477
augments.png,1,ffb-resources/src/main/resources/icons/augments/sweet_black_32.png,4
augments.png,2,ffb-resources/src/main/resources/icons/augments/sweet_white_32.png,4
bloodspots.png,1,ffb-resources/src/main/resources/icons/bloodspots/BHbloodspot1.png,2.917
bloodspots.png,2,ffb-resources/src/main/resources/icons/bloodspots/BHbloodspot3.png,2.917
bloodspots.png,3,ffb-resources/src/main/resources/icons/bloodspots/KObloodspot1.png,2.917
bloodspots.png,4,ffb-resources/src/main/resources/icons/bloodspots/KObloodspot2.png,2.917
bloodspots.png,5,ffb-resources/src/main/resources/icons/bloodspots/KObloodspot4.png,2.917
bloodspots.png,6,ffb-resources/src/main/resources/icons/bloodspots/KObloodspot6.png,2.917
bloodspots.png,7,ffb-resources/src/main/resources/icons/bloodspots/RIPbloodspot2.png,2.917
bloodspots.png,8,ffb-resources/src/main/resources/icons/bloodspots/RIPbloodspot4.png,2.917
bloodspots.png,9,ffb-resources/src/main/resources/icons/bloodspots/RIPbloodspot5.png,4
bloodspots.png,10,ffb-resources/src/main/resources/icons/bloodspots/SIbloodspot2.png,2.917
bloodspots.png,11,ffb-resources/src/main/resources/icons/bloodspots/SIbloodspot4.png,2.917
bloodspots.png,12,ffb-resources/src/main/resources/icons/bloodspots/bloodspot2.png,2.917
bloodspots.png,13,ffb-resources/src/main/resources/icons/bloodspots/bloodspot4.png,2.917
bloodspots.png,14,ffb-resources/src/main/resources/icons/bloodspots/crater_bomb1.png,0.933
bloodspots.png,15,ffb-resources/src/main/resources/icons/bloodspots/crater_bomb3.png,0.933
bloodspots.png,16,ffb-resources/src/main/resources/icons/bloodspots/crater_lightning.png,2.333
bloodspots.png,17,ffb-resources/src/main/resources/icons/bloodspots/crater_fireball.png,0.933
cached-other.png,1,ffb-resources/src/main/resources/icons/cached/static/zapped_player.png,2.383
cursors.png,1,ffb-resources/src/main/resources/icons/cursors/curbeerbomb.png,4
