category,family,count,paths
actions,bomb,2,ffb-resources/src/main/resources/icons/actions/bomb.gif | ffb-resources/src/main/resources/icons/actions/bomb.png
animation,explosion1,2,ffb-resources/src/main/resources/icons/animation/blastin/explosion1.png | ffb-resources/src/main/resources/icons/animation/trickster/explosion1.png
animation,explosion2,2,ffb-resources/src/main/resources/icons/animation/blastin/explosion2.png | ffb-resources/src/main/resources/icons/animation/trickster/explosion2.png
animation,smoke1,2,ffb-resources/src/main/resources/icons/animation/blastin/smoke1.png | ffb-resources/src/main/resources/icons/animation/trickster/smoke1.png
animation,smoke2,2,ffb-resources/src/main/resources/icons/animation/blastin/smoke2.png | ffb-resources/src/main/resources/icons/animation/trickster/smoke2.png
animation,smoke3,2,ffb-resources/src/main/resources/icons/animation/blastin/smoke3.png | ffb-resources/src/main/resources/icons/animation/trickster/smoke3.png
animation,smoke4,2,ffb-resources/src/main/resources/icons/animation/blastin/smoke4.png | ffb-resources/src/main/resources/icons/animation/trickster/smoke4.png
animation,beerbomb,6,ffb-resources/src/main/resources/icons/animation/keg/beerbomb.png | ffb-resources/src/main/resources/icons/animation/keg/beerbomb_120.png | ffb-resources/src/main/resources/icons/animation/keg/beerbomb_150.png | ffb-resources/src/main/resources/icons/animation/keg/beerbomb_30.png | ffb-resources/src/main/resources/icons/animation/keg/beerbomb_60.png | ffb-resources/src/main/resources/icons/animation/keg/beerbomb_90.png
animation,lightning_bolt,12,ffb-resources/src/main/resources/icons/animation/lightning/lightning_bolt_01.png | ffb-resources/src/main/resources/icons/animation/lightning/lightning_bolt_02.png | ffb-resources/src/main/resources/icons/animation/lightning/lightning_bolt_03.png | ffb-resources/src/main/resources/icons/animation/lightning/lightning_bolt_04.png | ffb-resources/src/main/resources/icons/animation/lightning/lightning_bolt_05.png | ffb-resources/src/main/resources/icons/animation/lightning/lightning_bolt_06.png | ffb-resources/src/main/resources/icons/animation/lightning/lightning_bolt_07.png | ffb-resources/src/main/resources/icons/animation/lightning/lightning_bolt_08.png | ffb-resources/src/main/resources/icons/animation/lightning/lightning_bolt_09.png | ffb-resources/src/main/resources/icons/animation/lightning/lightning_bolt_10.png | ffb-resources/src/main/resources/icons/animation/lightning/lightning_bolt_11.png | ffb-resources/src/main/resources/icons/animation/lightning/lightning_bolt_12.png
animation,zap,12,ffb-resources/src/main/resources/icons/animation/zap/zap_01.png | ffb-resources/src/main/resources/icons/animation/zap/zap_02.png | ffb-resources/src/main/resources/icons/animation/zap/zap_03.png | ffb-resources/src/main/resources/icons/animation/zap/zap_04.png | ffb-resources/src/main/resources/icons/animation/zap/zap_05.png | ffb-resources/src/main/resources/icons/animation/zap/zap_06.png | ffb-resources/src/main/resources/icons/animation/zap/zap_07.png | ffb-resources/src/main/resources/icons/animation/zap/zap_08.png | ffb-resources/src/main/resources/icons/animation/zap/zap_09.png | ffb-resources/src/main/resources/icons/animation/zap/zap_10.png | ffb-resources/src/main/resources/icons/animation/zap/zap_11.png | ffb-resources/src/main/resources/icons/animation/zap/zap_12.png
decorations,block,2,ffb-resources/src/main/resources/icons/decorations/block_away.gif | ffb-resources/src/main/resources/icons/decorations/block_home.gif
game,sball,2,ffb-resources/src/main/resources/icons/game/sball_30x30.png | ffb-resources/src/main/resources/icons/game/sball_60x60.png
game,sbomb,2,ffb-resources/src/main/resources/icons/game/sbomb_30x30.png | ffb-resources/src/main/resources/icons/game/sbomb_60x60.png
replay,fast_backward,4,ffb-resources/src/main/resources/icons/replay/fast_backward.gif | ffb-resources/src/main/resources/icons/replay/fast_backward_active.gif | ffb-resources/src/main/resources/icons/replay/fast_backward_disabled.png | ffb-resources/src/main/resources/icons/replay/fast_backward_selected.gif
replay,fast_forward,4,ffb-resources/src/main/resources/icons/replay/fast_forward.gif | ffb-resources/src/main/resources/icons/replay/fast_forward_active.gif | ffb-resources/src/main/resources/icons/replay/fast_forward_disabled.png | ffb-resources/src/main/resources/icons/replay/fast_forward_selected.gif
replay,pause,4,ffb-resources/src/main/resources/icons/replay/pause.gif | ffb-resources/src/main/resources/icons/replay/pause_active.gif | ffb-resources/src/main/resources/icons/replay/pause_disabled.png | ffb-resources/src/main/resources/icons/replay/pause_selected.gif
replay,play_backward,4,ffb-resources/src/main/resources/icons/replay/play_backward.gif | ffb-resources/src/main/resources/icons/replay/play_backward_active.gif | ffb-resources/src/main/resources/icons/replay/play_backward_disabled.png | ffb-resources/src/main/resources/icons/replay/play_backward_selected.gif
replay,play_forward,4,ffb-resources/src/main/resources/icons/replay/play_forward.gif | ffb-resources/src/main/resources/icons/replay/play_forward_active.gif | ffb-resources/src/main/resources/icons/replay/play_forward_disabled.png | ffb-resources/src/main/resources/icons/replay/play_forward_selected.gif
replay,skip_backward,4,ffb-resources/src/main/resources/icons/replay/skip_backward.gif | ffb-resources/src/main/resources/icons/replay/skip_backward_active.gif | ffb-resources/src/main/resources/icons/replay/skip_backward_disabled.png | ffb-resources/src/main/resources/icons/replay/skip_backward_selected.gif
