module,group,artifact,declared_version,baseline_java8_version,scope
ffb-common,io.github.classgraph,classgraph,,4.8.98,compile
ffb-common,com.eclipsesource.minimal-json,minimal-json,0.9.5,0.9.5,compile
ffb-common,org.junit.jupiter,junit-jupiter-api,,5.5.0,test
ffb-common,org.junit.jupiter,junit-jupiter-params,,5.5.0,test
ffb-common,org.mockito,mockito-junit-jupiter,,4.11.0,test
ffb-common,org.mockito,${mockito.artifact},,4.11.0,test
ffb-tools,com.fumbbl.ffb,ffb-common,${project.version},${project.version},compile
ffb-tools,commons-codec,commons-codec,1.3,1.3,compile
ffb-tools,commons-httpclient,commons-httpclient,3.1,3.1,compile
ffb-tools,commons-logging,commons-logging,1.1,1.1,compile
ffb-server,com.fumbbl.ffb,ffb-common,${project.version},${project.version},compile
ffb-server,org.eclipse.jetty.websocket,websocket-server,9.4.0.v20161208,9.4.0.v20161208,compile
ffb-server,org.eclipse.jetty.websocket,websocket-client,9.4.0.v20161208,9.4.0.v20161208,compile
ffb-server,com.amazonaws,aws-java-sdk-s3,1.12.272,1.12.272,compile
ffb-server,org.apache.httpcomponents,httpmime,4.5.2,4.5.2,compile
ffb-server,org.mariadb.jdbc,mariadb-java-client,3.5.8,3.5.8,compile
ffb-server,org.junit.jupiter,junit-jupiter-api,,5.5.0,test
ffb-server,org.mockito,mockito-junit-jupiter,,4.11.0,test
ffb-server,org.mockito,${mockito.artifact},,4.11.0,test
ffb-client-logic,com.fumbbl.ffb,ffb-common,${project.version},${project.version},compile
ffb-client-logic,org.glassfish.tyrus,tyrus-client,1.21,1.21,compile
ffb-client-logic,org.glassfish.tyrus,tyrus-container-grizzly-client,1.21,1.21,compile
ffb-client-logic,org.apache.httpcomponents.client5,httpclient5,5.3,5.3,compile
ffb-client-logic,kuusisto.tinysound,tinysound,1.1.1,1.1.1,compile
ffb-client-logic,org.osgi,core,4.3.0,4.3.0,compile
ffb-client-logic,javazoom.vorbisspi,vorbisspi,1.0.3,1.0.3,compile
ffb-client-logic,com.jcraft,jorbis,0.0.17,0.0.17,compile
ffb-client-logic,org.tritonus,tritonus_share,0.0.1,0.0.1,compile
ffb-client-logic,org.junit.jupiter,junit-jupiter-api,,5.5.0,test
ffb-client-logic,org.mockito,mockito-junit-jupiter,,4.11.0,test
ffb-client,com.fumbbl.ffb,ffb-client-logic,${project.version},${project.version},compile
ffb-client,com.fumbbl.ffb,ffb-resources,${project.version},${project.version},compile
ffb-client,kuusisto.tinysound,tinysound,1.1.1,1.1.1,compile
ffb-client,org.osgi,core,4.3.0,4.3.0,compile
ffb-client,javazoom.vorbisspi,vorbisspi,1.0.3,1.0.3,compile
ffb-client,com.jcraft,jorbis,0.0.17,0.0.17,compile
ffb-client,org.tritonus,tritonus_share,0.0.1,0.0.1,compile
ffb-client,io.github.classgraph,classgraph,,4.8.98,runtime
ffb-client,com.eclipsesource.minimal-json,minimal-json,0.9.5,0.9.5,runtime
ffb-statetest,com.fumbbl.ffb,ffb-common,${project.version},${project.version},compile
ffb-statetest,com.fumbbl.ffb,ffb-server,${project.version},${project.version},compile
ffb-statetest,org.junit.jupiter,junit-jupiter-api,,5.5.0,test
ffb-statetest,org.mockito,mockito-junit-jupiter,,4.11.0,compile
ffb-statetest,org.mockito,${mockito.artifact},,4.11.0,compile
