path,lines,branch_tokens,awt_swing
ffb-common/src/main/java/com/fumbbl/ffb/model/FieldModel.java,1302,148,False
ffb-server/src/main/java/com/fumbbl/ffb/server/step/bb2020/StepEndTurn.java,1068,143,False
ffb-server/src/main/java/com/fumbbl/ffb/server/step/bb2025/StepEndTurn.java,1043,134,False
ffb-server/src/main/java/com/fumbbl/ffb/server/step/bb2025/kickoff/StepApplyKickoffResult.java,917,113,False
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/menu/settings/ClientGraphicsMenu.java,891,78,True
ffb-common/src/main/java/com/fumbbl/ffb/model/RosterPlayer.java,889,94,False
ffb-server/src/main/java/com/fumbbl/ffb/server/step/bb2020/shared/StepCatchScatterThrowIn.java,872,124,False
ffb-server/src/main/java/com/fumbbl/ffb/server/step/bb2025/shared/StepCatchScatterThrowIn.java,871,126,False
ffb-server/src/main/java/com/fumbbl/ffb/server/step/bb2025/mutliblock/StepApothecaryMultiple.java,856,83,False
ffb-server/src/main/java/com/fumbbl/ffb/server/step/bb2020/start/StepBuyCardsAndInducements.java,830,85,False
ffb-server/src/main/java/com/fumbbl/ffb/server/admin/AdminServlet.java,817,91,False
ffb-server/src/main/java/com/fumbbl/ffb/server/step/bb2020/StepApplyKickoffResult.java,816,93,False
ffb-common/src/main/java/com/fumbbl/ffb/model/Game.java,808,45,False
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/state/logic/LogicModule.java,775,24,False
ffb-server/src/main/java/com/fumbbl/ffb/server/step/bb2025/start/StepBuyInducements.java,775,74,False
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/dialog/DialogBlockRollProperties.java,774,120,True
ffb-common/src/main/java/com/fumbbl/ffb/model/change/ModelChangeProcessor.java,764,248,False
ffb-common/src/main/java/com/fumbbl/ffb/json/LZString.java,763,119,False
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/IconCache.java,750,121,True
ffb-common/src/main/java/com/fumbbl/ffb/model/RosterPosition.java,750,69,False
ffb-common/src/main/java/com/fumbbl/ffb/util/UtilPlayer.java,750,85,False
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/menu/settings/GamePlayMenu.java,703,42,True
ffb-server/src/main/java/com/fumbbl/ffb/server/step/bb2016/StepEndTurn.java,703,97,False
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/PlayerDetailComponent.java,685,73,True
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ui/menu/settings/ClientSettingsMenu.java,664,56,True
ffb-common/src/main/java/com/fumbbl/ffb/json/IJsonOption.java,660,0,False
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/dialog/DialogBlockRollPartialReRoll.java,650,102,True
ffb-server/src/main/java/com/fumbbl/ffb/server/mechanic/bb2025/RollMechanic.java,645,82,False
ffb-client-logic/src/main/java/com/fumbbl/ffb/client/ClientReplayer.java,644,71,True
ffb-server/src/main/java/com/fumbbl/ffb/server/step/bb2025/move/StepMoveDodge.java,639,89,False
ffb-common/src/main/java/com/fumbbl/ffb/inducement/bb2016/Cards.java,630,37,False
ffb-server/src/main/java/com/fumbbl/ffb/server/step/bb2016/StepApplyKickoffResult.java,630,83,False
ffb-server/src/main/java/com/fumbbl/ffb/server/net/ServerCommunication.java,623,51,False
ffb-common/src/main/java/com/fumbbl/ffb/model/ActingPlayer.java,621,46,False
