"Fixture","Type","Revision","Utf8JsonBytes"
"BOTH_DOWN","result","0","147"
"BOTH_DOWN","snapshot","0","759"
"BOTH_DOWN","result","0","147"
"BOTH_DOWN","snapshot","0","759"
"BOTH_DOWN","result","1","155"
"BOTH_DOWN","snapshot","1","619"
"BOTH_DOWN","result","1","147"
"BOTH_DOWN","snapshot","1","619"
"BOTH_DOWN","result","1","154"
"BOTH_DOWN_BLOCK","result","0","147"
"BOTH_DOWN_BLOCK","snapshot","0","759"
"BOTH_DOWN_BLOCK","result","0","147"
"BOTH_DOWN_BLOCK","snapshot","0","759"
"BOTH_DOWN_BLOCK","result","1","155"
"BOTH_DOWN_BLOCK","snapshot","1","622"
"BOTH_DOWN_BLOCK","result","1","147"
"BOTH_DOWN_BLOCK","snapshot","1","622"
"BOTH_DOWN_BLOCK","result","1","154"
"BOTH_DOWN_AWAY","result","0","147"
"BOTH_DOWN_AWAY","snapshot","0","794"
"BOTH_DOWN_AWAY","result","0","141"
"BOTH_DOWN_AWAY","snapshot","1","619"
"BOTH_DOWN_AWAY_BLOCK","result","0","147"
"BOTH_DOWN_AWAY_BLOCK","snapshot","0","794"
"BOTH_DOWN_AWAY_BLOCK","result","0","141"
"BOTH_DOWN_AWAY_BLOCK","snapshot","1","622"
